station_raw,time_to_tokyo_min
ＪＲ京葉線/越中島駅,4.0
都営大江戸線/門前仲町駅,13.0
ＪＲ中央線/新宿駅,14.0
東京メトロ丸ノ内線/西新宿駅,20.0
西武新宿線/西武新宿駅,29.0
都電荒川線/大塚駅前駅,25.0
東京メトロ丸ノ内線/新大塚駅,14.0
都電荒川線/向原駅,31.0
東急多摩川線/沼部駅,45.0
ＪＲ京浜東北線/秋葉原駅,4.0
都営大江戸線/六本木駅,16.0
ＪＲ京浜東北線/御徒町駅,6.0
都営大江戸線/青山一丁目駅,13.0
多摩都市モノレール/柴崎体育館駅,51.0
ＪＲ中央線/千駄ケ谷駅,20.0
東京メトロ南北線/後楽園駅,9.0
東京メトロ丸ノ内線/茗荷谷駅,12.0
東急大井町線/上野毛駅,47.0
都営三田線/板橋本町駅,32.0
京王線/千歳烏山駅,34.0
東急目黒線/目黒駅,21.0
京王井の頭線/永福町駅,36.0
ＪＲ山手線/新宿駅,14.0
ＪＲ総武線/吉祥寺駅,27.0
京王線/調布駅,41.0
東京メトロ日比谷線/銀座駅,2.0
東京メトロ南北線/目黒駅,21.0
東京メトロ丸ノ内線/荻窪駅,24.0
ＪＲ総武線/西荻窪駅,32.0
東武東上線/上板橋駅,37.0
京王線/京王八王子駅,62.0
京王井の頭線/井の頭公園駅,37.0
東京メトロ銀座線/日本橋駅,11.0
ＪＲ京葉線/八丁堀駅,2.0
東武伊勢崎線/東向島駅,32.0
東京メトロ銀座線/浅草駅,19.0
都営浅草線/本所吾妻橋駅,22.0
都営大江戸線/新宿西口駅,24.0
東京メトロ丸ノ内線/新宿駅,14.0
ＪＲ山手線/大崎駅,16.0
都営大江戸線/飯田橋駅,15.0
東急大井町線/大岡山駅,34.0
つくばエクスプレス/秋葉原駅,4.0
東急世田谷線/上町駅,50.0
ＪＲ中央線/国立駅,45.0
ＪＲ中央線/荻窪駅,23.0
京王井の頭線/高井戸駅,44.0
ＪＲ中央線/西荻窪駅,32.0
ＪＲ武蔵野線/北府中駅,45.0
東京メトロ有楽町線/江戸川橋駅,26.0
西武新宿線/新井薬師前駅,40.0
都営新宿線/九段下駅,10.0
都営大江戸線/東中野駅,27.0
都営大江戸線/赤羽橋駅,20.0
ＪＲ京浜東北線/神田駅,2.0
東急世田谷線/西太子堂駅,41.0
ＪＲ五日市線/熊川駅,77.0
東急池上線/五反田駅,18.0
都営浅草線/高輪台駅,21.0
東京メトロ半蔵門線/三越前駅,11.0
都営新宿線/新宿三丁目駅,17.0
東京メトロ副都心線/東新宿駅,29.0
西武多摩湖線/一橋学園駅,51.0
東京メトロ丸ノ内線/四谷三丁目駅,13.0
東急目黒線/大岡山駅,34.0
ＪＲ横浜線/町田駅,56.0
ＪＲ総武線/阿佐ケ谷駅,27.0
ＪＲ中央線/西八王子駅,55.0
東急大井町線/緑が丘駅,37.0
西武新宿線/下井草駅,51.0
東急東横線/学芸大学駅,33.0
都電荒川線/荒川二丁目駅,34.0
都営新宿線/大島駅,23.0
東京メトロ日比谷線/中目黒駅,27.0
京王高尾線/めじろ台駅,75.0
ＪＲ中央線/高尾駅,58.0
東急田園都市線/池尻大橋駅,25.0
京王井の頭線/神泉駅,30.0
京王井の頭線/渋谷駅,19.0
都営大江戸線/国立競技場駅,25.0
ＪＲ京浜東北線/大井町駅,16.0
東京メトロ銀座線/田原町駅,17.0
